Designator,Mid X,Mid Y,Rotation,Layer
C1,25.75,-71.385,90.0,top
C10,39.675,-58.15,0.0,top
C2,33.53,-64.925,270.0,top
C3,35.76,-52.13,90.0,top
C4,34.0,-51.735,90.0,top
C5,33.79,-54.855,270.0,top
C9,35.245,-66.165,270.0,top
CN1,29.36,-61.87,270.0,top
D1,30.48,-72.64,0.0,top
D2,36.37,-57.2425,90.0,top
D3,43.25,-65.2975,90.0,top
L1,41.7925,-52.64,180.0,top
Q1,26.82,-68.1,0.0,top
R1,39.69,-61.23,180.0,top
R10,37.97,-66.93,0.0,top
R11,38.83,-52.135,90.0,top
R12,37.303,-52.135,270.0,top
R13,34.66,-43.01,0.0,top
R2,39.69,-59.7,0.0,top
R3,39.69,-62.77,0.0,top
R4,40.64,-65.055,270.0,top
R6,27.26,-43.01,180.0,top
R7,33.53,-58.7775,270.0,top
R8,29.71,-67.99,90.0,top
R9,37.97,-65.4,0.0,top
SW1,30.36,-47.17,0.0,top
SW2,38.94,-47.17,0.0,top
TP1,42.6275,-25.04,0.0,bottom
TP2,26.7125,-25.04,0.0,bottom
TP3,37.3225,-25.04,0.0,bottom
TP4,32.0175,-25.04,0.0,bottom
U1,34.66,-32.26,0.0,top
U2,43.13,-56.973718,90.0,top
U3,43.13,-60.04,90.0,top
U4,32.38,-68.1675,90.0,top
U5,36.195,-62.72,0.0,top
U6,39.78,-55.485,0.0,top
U7,28.75,-54.08,180.0,top
USB1,39.692123,-72.136262,0.0,top
